Simon Bolivar, Monterrey.
Dawn Howarth, Dawn Howarth.
Dena Skrbina, Dena Skrbina.
Dennis Klatt, Dennis Klatt.
Don Knotts, Don Knotts.
Doug Sharp, Doug Sharp.
Dragon Dictation, Dragon Dictation.
Dragon Go, Dragon Go.
Dragon Medical Practice Edition, Dragon Medical Practice Edition.
Dragon Reader, Dragon Reader.
Dragon Search, Dragon Search.
Dragonfly Lane, Dragonfly Lane.
Eliza Doolittle, Eliza Doolittle.
Elizabeth Dykstra Erickson, Elizabeth Dykstra Erickson.
Emiliano Fabiani, Emiliano Fabiani.
Equitrac, Equitrac.
Eric Morley, Eric Morley.
Eric Schmidt, Eric Schmidt.
Galatea, Galatea.
Gary Clayton, Gary Clayton.
George Rosen, George Rosen.
Gunnar Fant, Gunnar Fant.
Herman von Helmholz, Herman von Helmholz.
Hoi Young, Hoi Young.
Homer Dudley, Homer Dudley.
Jan De Moortel, Jan De Moortel.
Jason Brenier, Jason Brenier.
Jeff Bezos, Jeff Bezos.
Johan Wouters, Johan Wouters.
Jonathan Ive, Jonathan Ive.
Jonny Ive, Jonny Ive.
Josiane Farley, Josiane Farley.
Kevin Chatow, Kevin Chatow.
Kim Silverman, Kim Silverman.
Larry Page, Larry Page.
Laura Michaelis, Laura Michaelis.
Lewis Mowatt, Lewis Mowatt.
Marc Fabiani, Marc Fabiani.
Mark Hanson, Mark Hanson.
Mark O'Conner, Mark O'Conner.
Marston Ward, Marston Ward.
Matt Revis, Matt Revis.
Melvyn Depeyrot, Melvyn Depeyrot.
Michael Thompson, Michael Thompson.
Mike Thompson, Mike Thompson.
Mobile Enterprise, Mobile Enterprise.
Monika Almudafar, Monika Almudafar.
Monika Depeyrot, Monika Depeyrot.
Naturally Speaking, Naturally Speaking.
Noriko Umeda, Noriko Umeda.
Notification Hub, Notification Hub.
Nuance, Nuance.
Nuance on Demand, Nuance on Demand.
Oliver Whittier Vazquez, Oliver Whittier Vazquez.
Omnipage, Omnipage.
PDF Converter, PDF Converter.
PDF Create, PDF Create.
Paolo Pastorino, Paolo Pastorino.
PaperPort, PaperPort.
Paul Ricci, Paul Ricci.
Peter Mahoney, Peter Mahoney.
Phil Schiller, Phil Schiller.
Powerscribe, Powerscribe.
Prodigy, Prodigy.
Prodigy F A. Q, Prodigy F A. Q.
Professor Higgins, Professor Higgins.
Pygmalion, Pygmalion.
Race Ward, Race Ward.
Ralph Leith, Ralph Leith.
Ray Kurzweil, Ray Kurzweil.
Robert Weidemann, Robert Weidemann.
Roger Bacon, Roger Bacon.
Sara Ward, Sara Ward.
Scott Forstall, Scott Forstall.
Scott Taylor, Scott Taylor.
Sergey Brin, Sergey Brin.
Shao Xu, Shao Xu.
SpeechAttendant, SpeechAttendant.
Stefaan Van Gerven, Stefaan Van Gerven.
Stefan Hamerich, Stefan Hamerich.
Stefan Ortmanns, Stefan Ortmanns.
Stella Xochitl Vazquez, Stella Xochitl Vazquez.
Stephen Elop, Stephen Elop.
Steve Chambers, Steve Chambers.
Steve-Jobs, Steve-Jobs.
Steven Hawking, Steven Hawking.
Stevie Wonder, Stevie Wonder.
T Brown, T Brown.
Talks and Zooms, Talks and Zooms.
Thierry Depeyrot, Thierry Depeyrot.
Tiffanie Turner, Tiffanie Turner.
Tim Cook, Tim Cook.
Tom Beaudoin, Tom Beaudoin.
Tony Lorentzen, Tony Lorentzen.
Victor Chen, Victor Chen.
Vincent Pollet, Vincent Pollet.
Virginie Holm, Virginie Holm.
Vivienne Depeyrot, Vivienne Depeyrot.
Vlad Sejnoha, Vlad Sejnoha.
Vocalizer Expressive, Vocalizer Expressive.
Vocalizer for Automotive, Vocalizer for Automotive.
Vocalizer for Mobile, Vocalizer for Mobile.
Vocalizer for Network, Vocalizer for Network.
Vocon, Vocon.
Vocon Hybrid, Vocon Hybrid.
Voice Authentication, Voice Authentication.
Walter Lawrence, Walter Lawrence.
Wang Lan, Wang Lan.
Wenlian, Wenlian.
Wolfgang von Kempelen, Wolfgang von Kempelen.
X T Nine Trace, X T Nine Trace.
Yingkai Shao, Yingkai Shao.
Yuming Shao, Yuming Shao.
eCopy, eCopy.
Hal Tily, Hal Tily.
Harry Tily, Harry Tily.
Paweena Attayadmawittaya, Paweena Attayadmawittaya.
Bo Attayadmawittaya, Bo Attayadmawittaya
Tiago Cabaco, Tiago Cabaco
Tony Sheeder, Tony Sheeder
A S R, A S R
Dragon Dictate, Dragon Dictate
Dragon Drive, Dragon Drive
Dragon T V, Dragon T V
Nina, Nina
O C R, O C R
Speech synthesis, speech synthesis.
Text-to-Speech, Text-to-Speech.
T T S, T T S.
Eight Nine Nine West Evelyn Avenue, Mountain-View California
S and P Retail, S and P Retail.
Exxon Mobil, Exxon Mobil.
Xilinx, Xilinx.
United-States Steel, United-States Steel.
Wynn Resorts, Wynn Resorts.
Walgreen's, Walgreen's.
Verizon Communications, Verizon Communications.
Barclays Bank, Barclays Bank.
Vodafone Group, Vodafone Group.
Visa, Visa.
United-Technologies, United-Technologies.
Urban Outfitters, Urban Outfitters.
United-Parcel-Service, United-Parcel-Service.
Union-Pacific, Union-Pacific.
United Health Group, United Health Group.
Travelers, Travelers.
T Rowe Price Group, T Rowe Price Group.
Direxion Daily Small Cap, Direxion Daily Small Cap.
Ishares Barclays Twenty Plus, Ishares Barclays Twenty Plus.
Target, Target.
Teva Pharmaceutical Industries, Teva Pharmaceutical Industries.
A T and T, A T and T.
Skyworks Solutions, Skyworks Solutions.
S and P Five Hundred, S and P Five Hundred.
Sandisk, Sandisk.
Schlumberger, Schlumberger.
Sirius X M Radio, Credit Suisse.
Schnitzer Steel, World Fuel Services Corporation.
Industries Incorporated, Midcap Four Hundred Growth Index Fund.
R R Donnelley and Sons, China Crescent Enterprises.
Northeast-Utilities, Ultratech.
Navistar-International Corporation, Waddell and Reed Financial.
Monster Worldwide Incorporated, Unilever P L C.
Meadwestvaco Corporation, Washington Federal.
Magna International, Exelon Corporation.
Medivation, Volcano Corporation.
Level Three Communications, Ball Corporation.
Liberty Media, Cenovus Energy.
Limelight Networks, Flint Telecom Group.
Liberty Global, Diageo.
Kansas-City Southern, Demandtec.
Kinder Morgan Incorporated, Plum-Creek-Timber.
Holding Company Incorporated, Sunvalley Solar.
Engineering Group Incorporated, Index Investor.
Ishares Trust S and P Midcap, Midcap Four Hundred.
International Game Technology, S R A International.
Iamgold Corporation, Williams Sonoma.
Herbalife Limited, Adarna Energy Corporation.
Hittite Microwave Corporation, Kinder Morgan Incorporated.
Globe Specialty Metals Incorporated, Resources Connection.
Market Vectors Gold Miners E T F, Wellcare Health Plans.
Federal Realty Investment Trust, Motor Corporation.
Federal-National-Mortgage Association, Mphase Technologies.
Fannie-Mae, Wilmington Trust Corporation.
Freddy Mac, Sector Standard Poors Deposit Receipt.
Evarco, Smallcap Six Hundred Index Fund.
Embraer S A, Zipcar.
Wisdomtree Trust India Earnings Fund, Exterran Holdings.
Endo Pharmaceuticals, Sify Technologies Limited.
Estee Lauder Cosmetics, Sherwin Williams Company.
Direxion Daily Emerging Markets, Reynolds American.
Bull Three X Shares, Frontline.
Dresser Rand Group, Assurant.
Cymer, Vanguard F T S E All World.
Pacific Excluding Japan, Vanguard Footsie All World.
C V R Energy, Eldorado Gold Corporation.
Coventry Health Care, Berkshire Hathaway.
Carrizo Oil and Gas, Exelixis.
Copart, Energy Transfer Partners.
China Crescent Enterprises, Uranium Resources.
Commerce-Bancshares, Advanced Analogic Technologies.
Associated Banc Corporation, Microsemi Corporation.
Arris Group, Select Comfort Corporation.
Approach Resources, Crosstex Energy.
Allied Nevada Gold Corporation, Cnooc Limited.
The Allstate Corporation, Petrochina.
Apartment Investment and Management Company, Global Payments.
Youku, L Three Communications Holdings.
Sector Trust, Winn Dixie Stores.
Sector Standard Poors Deposit Receipt, Harris Corporation.
S and P Homebuilders E T F, Oxigene.
Watson Pharmaceuticals, Wright Medical Group.
Werner Enterprises, Barclays.
Wisconsin-Energy Corporation, Consumer Discretionary.
Barclays Bank P L C, International Flavors and Fragrances.
Vanguard International Equity Index Funds, Westlake Chemical Corporation.
Vivus, Wells-Fargo.
Vanguard Dividend Appreciation E T F, Neomedia Technologies.
Universal-Health-Services, Itau Unibanco Holding.
Domtar Corporation, Sprott Physical Gold Trust.
Two Harbors Investment Corporation, Domtar Corporation.
Direxion Daily Twenty Plus, National Retail Properties.
Tekelec, Germany Index Fund.
Team Nation Holding Corporation, Magna International.
Molson Coors Brewing Company, Adobe-Systems.
Statoil, Calpine Corporation.
J M Smucker Company, Malaysia Index Fund.
Sherwin Williams Company, Logmein.
C B S Crude Oil, Essex Property Trust.
Ryanair Holdings, Team Nation Holding Corporation.
P L C, Vanguard Dividend Appreciation E T F.
Royale Energy, Twenty-one Vianet Group.
Rock Tenn Company, Schnitzer Steel.
Rediff Dot Com India Limited, The Allstate Corporation.
Rubicon Technology, Telvent.
Reynolds American, Trina Solar Limited.
Qwest Communications International, Markwest Energy Partners.
